DrawDate,LottoType,DrawSystemId,TicketPrice,WinPoolCount1,WinPoolAmount1,WinPoolCount2,WinPoolAmount2,WinPoolCount3,WinPoolAmount3,WinPoolCount4,WinPoolAmount4,Number1,Number2,Number3,Number4,Number5,Number6
2024-02-27,LottoPlus,7006,,,,,,,,,,6,16,26,36,42,47
2024-02-24,LottoPlus,7005,,,,,,,,,,6,15,26,28,36,43
2024-02-22,LottoPlus,7004,,,,,,,,,,12,17,19,30,37,40
2024-02-20,LottoPlus,7003,,,,,,,,,,15,20,29,30,32,35
2024-02-17,LottoPlus,7002,,,,,,,,,,1,2,9,14,40,46
2024-02-15,LottoPlus,7001,,,,,,,,,,17,19,25,35,45,47
2024-02-13,LottoPlus,7000,,,,,,,,,,1,11,28,29,31,41
2024-02-10,LottoPlus,6999,,,,,,,,,,1,2,15,19,34,48
2024-02-08,LottoPlus,6998,,,,,,,,,,4,5,14,23,30,36
2024-02-06,LottoPlus,6997,,,,,,,,,,6,8,26,28,34,40
2024-02-03,LottoPlus,6996,,,,,,,,,,21,29,34,40,44,46
2024-02-01,LottoPlus,6995,,,,,,,,,,3,4,11,31,42,48
2024-01-30,LottoPlus,6994,,,,,,,,,,2,3,8,16,32,37
2024-01-27,LottoPlus,6993,,,,,,,,,,4,5,9,29,36,37
2024-01-25,LottoPlus,6992,,,,,,,,,,9,11,25,40,42,46
2024-01-23,LottoPlus,6991,,,,,,,,,,20,26,29,31,37,42
2024-01-20,LottoPlus,6990,,,,,,,,,,27,28,30,31,35,45
2024-01-18,LottoPlus,6989,,,,,,,,,,29,34,43,44,48,49
2024-01-16,LottoPlus,6988,,,,,,,,,,4,15,16,17,45,46
2024-01-13,LottoPlus,6987,,,,,,,,,,11,22,23,26,31,32
2024-01-11,LottoPlus,6986,,,,,,,,,,2,8,19,27,40,42
2024-01-09,LottoPlus,6985,,,,,,,,,,11,17,27,35,37,43
2024-01-06,LottoPlus,6984,,,,,,,,,,9,22,25,36,46,48
2024-01-04,LottoPlus,6983,,,,,,,,,,8,9,11,30,31,37
2024-01-02,LottoPlus,6982,,,,,,,,,,15,16,17,34,42,45
2023-12-30,LottoPlus,6981,,,,,,,,,,6,17,21,24,40,49
2023-12-28,LottoPlus,6980,,,,,,,,,,19,23,28,29,32,33
2023-12-26,LottoPlus,6979,,,,,,,,,,11,21,32,37,40,47
2023-12-23,LottoPlus,6978,,,,,,,,,,6,10,16,23,39,46
2023-12-21,LottoPlus,6977,,,,,,,,,,24,25,30,35,45,46
2023-12-19,LottoPlus,6976,,,,,,,,,,7,8,22,34,43,44
2023-12-16,LottoPlus,6975,,,,,,,,,,4,21,23,34,40,44
2023-12-14,LottoPlus,6974,,,,,,,,,,2,4,12,26,35,40
2023-12-12,LottoPlus,6973,,,,,,,,,,1,18,20,31,32,48
2023-12-09,LottoPlus,6972,,,,,,,,,,3,6,15,17,20,46
2023-12-07,LottoPlus,6971,,,,,,,,,,7,8,12,17,31,37
2023-12-05,LottoPlus,6970,,,,,,,,,,9,14,20,22,39,47
2023-12-02,LottoPlus,6969,,,,,,,,,,5,12,26,38,39,43
2023-11-30,LottoPlus,6968,,,,,,,,,,4,15,18,25,39,47
2023-11-28,LottoPlus,6967,,,,,,,,,,1,9,23,33,41,49
2023-11-25,LottoPlus,6966,,,,,,,,,,8,15,21,26,38,43
2023-11-23,LottoPlus,6965,,,,,,,,,,7,16,17,32,34,36
2023-11-21,LottoPlus,6964,,,,,,,,,,10,20,33,37,39,44
2023-11-18,LottoPlus,6963,,,,,,,,,,5,13,26,30,42,49
2023-11-16,LottoPlus,6962,,,,,,,,,,10,16,24,29,35,45
2023-11-14,LottoPlus,6961,,,,,,,,,,6,7,8,16,31,34
2023-11-11,LottoPlus,6960,,,,,,,,,,12,14,26,32,40,43
2023-11-09,LottoPlus,6959,,,,,,,,,,7,13,17,27,40,49
2023-11-07,LottoPlus,6958,,,,,,,,,,3,14,21,25,28,29
2023-11-04,LottoPlus,6957,,,,,,,,,,4,5,12,30,31,38
2023-11-02,LottoPlus,6956,,,,,,,,,,21,22,33,36,37,45
2023-10-31,LottoPlus,6955,,,,,,,,,,16,18,24,33,40,47
2023-10-28,LottoPlus,6954,,,,,,,,,,21,29,34,36,47,48
2023-10-26,LottoPlus,6953,,,,,,,,,,15,31,33,40,41,45
2023-10-24,LottoPlus,6952,,,,,,,,,,2,9,19,33,41,44
2023-10-21,LottoPlus,6951,,,,,,,,,,15,17,36,38,42,44
2023-10-19,LottoPlus,6950,,,,,,,,,,12,17,19,28,42,47
2023-10-17,LottoPlus,6949,,,,,,,,,,9,18,19,40,44,49
2023-10-14,LottoPlus,6948,,,,,,,,,,3,10,22,42,44,47
2023-10-12,LottoPlus,6947,,,,,,,,,,18,28,34,40,44,46
2023-10-10,LottoPlus,6946,,,,,,,,,,24,27,32,37,41,47
2023-10-07,LottoPlus,6945,,,,,,,,,,4,13,14,31,40,48
2023-10-05,LottoPlus,6944,,,,,,,,,,5,37,38,45,47,48
2023-10-03,LottoPlus,6943,,,,,,,,,,10,19,28,33,40,41
2023-09-30,LottoPlus,6942,,,,,,,,,,18,23,25,28,42,45
2023-09-28,LottoPlus,6941,,,,,,,,,,5,10,22,26,32,38
2023-09-26,LottoPlus,6940,,,,,,,,,,2,17,26,32,37,46
2023-09-23,LottoPlus,6939,,,,,,,,,,15,21,29,44,46,47
2023-09-21,LottoPlus,6938,,,,,,,,,,6,13,14,19,27,45
2023-09-19,LottoPlus,6937,,,,,,,,,,36,39,41,45,47,49
2023-09-16,LottoPlus,6936,,,,,,,,,,20,27,36,39,44,45
2023-09-14,LottoPlus,6935,,,,,,,,,,5,12,33,41,45,46
2023-09-12,LottoPlus,6934,,,,,,,,,,18,21,28,39,45,48
2023-09-09,LottoPlus,6933,,,,,,,,,,1,11,15,25,27,37
2023-09-07,LottoPlus,6932,,,,,,,,,,6,13,14,38,47,48
2023-09-05,LottoPlus,6931,,,,,,,,,,9,11,24,28,33,39
2023-09-02,LottoPlus,6930,,,,,,,,,,8,12,18,19,26,42
2023-08-31,LottoPlus,6929,,,,,,,,,,12,26,39,40,43,44
2023-08-29,LottoPlus,6928,,,,,,,,,,3,10,11,26,39,46
2023-08-26,LottoPlus,6927,,,,,,,,,,2,3,19,21,31,39
2023-08-24,LottoPlus,6926,,,,,,,,,,3,11,38,43,44,45
2023-08-22,LottoPlus,6925,,,,,,,,,,10,11,14,35,40,43
